"playlist_genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","decade","duration_sec"
"edm",0.649,0.939,7,-3.195,1,0.243,0.156,0.00266,0.872,0.346,127.933,"2010s",178.053
"rap",0.68,0.754,7,-6.562,0,0.0494,0.00998,0.192,0.157,0.107,122.03,"2010s",240
"r&b",0.552,0.629,9,-6.784,0,0.239,0.178,0,0.108,0.331,151.543,"2010s",190.081
"r&b",0.592,0.499,5,-7.806,1,0.277,0.174,0,0.122,0.863,125.824,"1990s",244.416
"r&b",0.758,0.915,11,-3.782,0,0.11,0.0261,1.41e-05,0.27,0.786,148.798,"2000s",259.267
"r&b",0.654,0.817,0,-5.898,1,0.153,0.124,1.18e-05,0.156,0.649,90.063,"1990s",257.333
"r&b",0.764,0.525,8,-5.969,1,0.048,0.0296,0,0.0993,0.787,95.813,"1990s",289.413
"rap",0.764,0.502,8,-6.392,1,0.0508,0.0162,0,0.0569,0.779,95.952,"1990s",290.04
"r&b",0.706,0.537,7,-6.347,1,0.348,0.00887,0,0.129,0.775,203.746,"2000s",225.947
"r&b",0.677,0.52,4,-6.255,0,0.334,0.00277,0,0.0532,0.768,203.862,"2000s",193.093
"rap",0.82,0.782,10,-5.469,0,0.326,0.0315,0,0.118,0.608,144.962,"2010s",198.853
"rap",0.773,0.813,2,-4.246,1,0.349,0.0527,0,0.285,0.321,117.288,"2010s",211.027
"rap",0.76,0.782,7,-4.237,1,0.36,0.0787,0,0.133,0.503,95.151,"2010s",265.588
"rap",0.584,0.758,1,-5.584,1,0.297,0.215,0,0.154,0.372,113.735,"2010s",190.066
"rap",0.589,0.827,2,-5.851,1,0.164,0.0505,0,0.0938,0.184,125.135,"2010s",233.221
"r&b",0.681,0.435,4,-12.873,0,0.0291,0.614,0,0.134,0.758,131.936,"1980s",251.267
"r&b",0.717,0.725,4,-13.575,0,0.0295,0.382,0.228,0.332,0.984,132.014,"1980s",291
"r&b",0.701,0.607,10,-13.001,0,0.0306,0.305,0.000107,0.373,0.876,122.981,"1980s",245.533
"r&b",0.672,0.661,7,-14.141,1,0.031,0.554,0.00776,0.0759,0.846,98.935,"1980s",293.373
"r&b",0.668,0.5,9,-14.984,0,0.0298,0.0306,0.000128,0.0566,0.769,132.989,"1980s",277.573
"r&b",0.665,0.875,7,-12.724,1,0.0405,0.0891,0.0091,0.157,0.713,102.322,"1980s",255.96
"r&b",0.694,0.621,11,-13.987,0,0.0357,0.395,0.0163,0.0822,0.732,114.057,"1980s",290.493
"r&b",0.709,0.557,6,-12.285,0,0.0292,0.476,8.52e-06,0.132,0.804,132.974,"1980s",275.4
"r&b",0.672,0.63,9,-13.473,0,0.0295,0.389,0.000281,0.0552,0.952,133.953,"1980s",282.293
"latin",0.569,0.513,7,-19.45,1,0.0362,0.0594,0.219,0.335,0.892,119.943,"2000s",235.08
"r&b",0.778,0.579,1,-9.112,0,0.0838,0.598,7.45e-06,0.14,0.826,99.996,"2010s",203.179
"r&b",0.594,0.751,4,-5.452,0,0.253,0.204,0,0.0921,0.526,89.331,"2010s",213.484
"r&b",0.616,0.723,0,-6.744,0,0.0335,0.231,0,0.188,0.449,95.071,"2010s",187.422
"pop",0.739,0.722,9,-5.85,0,0.128,0.253,0.000386,0.108,0.492,121.978,"2010s",285.261
"r&b",0.739,0.708,5,-6.761,0,0.059,0.0769,4.74e-06,0.241,0.216,97.975,"2010s",199.46
"r&b",0.715,0.682,0,-7.282,0,0.147,0.561,0,0.166,0.781,90.011,"2010s",185.891
"rap",0.874,0.496,5,-5.579,0,0.154,0.0498,0,0.294,0.129,145.977,"2010s",170.962
"pop",0.701,0.979,7,-4.861,0,0.048,0.00328,0.308,0.416,0.612,134.013,"1990s",263.163
"pop",0.697,0.916,8,-4.512,0,0.0592,0.0727,0.000333,0.615,0.767,128.002,"1990s",252.072
"rap",0.836,0.776,4,-0.804,0,0.239,0.274,0,0.113,0.37,130.033,"2010s",222.707
"rap",0.789,0.715,0,-3.477,1,0.178,0.367,0,0.0947,0.39,130.045,"2010s",247.385
"rap",0.936,0.702,10,-5.305,1,0.0615,0.0473,0,0.0838,0.704,97.524,"2010s",207.04
"rap",0.822,0.505,7,-7.384,1,0.147,0.0317,0.000911,0.114,0.523,73.003,"2010s",210.2
"rap",0.634,0.665,6,-5.984,0,0.176,0.0172,0,0.365,0.611,131.108,"2010s",237.8
"rap",0.895,0.564,7,-7.261,1,0.502,0.734,1.25e-06,0.718,0.366,129.97,"2010s",251.693
"rap",0.554,0.899,8,-4.573,1,0.408,0.0521,0,0.0568,0.552,171.966,"2010s",227.893
"r&b",0.793,0.399,7,-7.428,1,0.0951,0.12,0,0.124,0.0379,121.949,"2010s",226.6
"edm",0.782,0.604,5,-11.316,0,0.0478,0.018,0.0538,0.0751,0.76,130.421,"2010s",284.72
"rap",0.862,0.85,7,-6.075,1,0.196,0.0036,2.29e-05,0.271,0.507,137.531,"1990s",241.373
"edm",0.74,0.396,11,-9.993,1,0.306,0.116,1.14e-05,0.432,0.373,104.967,"2010s",180.649
"edm",0.471,0.699,5,-7.782,0,0.245,0.363,0.000242,0.0708,0.329,170.114,"2010s",238.778
"pop",0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,"2010s",288.624
"rap",0.713,0.62,0,-4.513,1,0.0422,0.171,1.16e-06,0.118,0.206,130.09,"2010s",211.785
"rap",0.884,0.346,8,-8.228,0,0.351,0.0151,7.04e-06,0.0871,0.376,75.016,"2010s",220.307
"rap",0.782,0.436,2,-7.033,1,0.155,0.331,1.3e-05,0.342,0.243,82.994,"2010s",268.933
"rap",0.741,0.87,6,-3.494,0,0.503,0.00813,0,0.114,0.663,184.194,"2010s",254.723
"rap",0.89,0.607,9,-6.916,0,0.124,0.158,0.000228,0.118,0.224,134.022,"2010s",233.04
"rap",0.845,0.399,1,-7.509,1,0.309,0.00525,0.74,0.102,0.148,143.049,"2010s",257.6
"rap",0.835,0.413,1,-9.81,1,0.396,0.373,0.00133,0.101,0.111,149.004,"2010s",258.88
"rap",0.753,0.635,5,-5.34,1,0.101,0.0615,1.2e-06,0.122,0.542,161.977,"2010s",165.894
"rap",0.745,0.718,9,-4.853,0,0.183,0.197,0,0.134,0.539,151.097,"2010s",179.133
"latin",0.479,0.558,7,-10.517,1,0.0869,0.844,0.18,0.0958,0.567,126.065,"2010s",222.907
"rap",0.71,0.543,6,-9.724,1,0.172,0.01,0,0.152,0.315,92.113,"2010s",188.152
"rap",0.45,0.449,2,-12.037,1,0.156,0.00791,0,0.173,0.139,135.45,"2010s",220.934
"rap",0.526,0.773,2,-7.79,0,0.0513,0.0286,0.02,0.377,0.172,146.055,"2010s",175.966
"edm",0.821,0.847,0,-3.721,1,0.0387,0.00772,0.0032,0.0482,0.712,127.986,"2010s",210.733
"rap",0.856,0.904,8,-4.804,1,0.139,0.0253,3.16e-05,0.0537,0.855,99.247,"1990s",246.533
"rap",0.71,0.905,1,-2.578,1,0.324,0.0391,0.00093,0.0562,0.817,198.5,"2000s",246.147
"rap",0.859,0.792,2,-4.007,1,0.141,0.065,0,0.3,0.766,103.201,"1990s",276.813
"rap",0.801,0.908,2,-6.554,1,0.221,0.00253,0.000655,0.0698,0.805,87.279,"1990s",278.387
"rap",0.868,0.718,1,-5.453,0,0.288,0.0162,0,0.21,0.598,83.015,"2000s",244.827
"rap",0.763,0.85,7,-3.052,1,0.0417,0.0304,1.21e-06,0.371,0.761,91.519,"1990s",284.907
"rap",0.769,0.832,7,-2.985,1,0.048,0.0291,1.46e-06,0.386,0.772,91.53,"1990s",284.907
"rap",0.865,0.657,7,-6.722,1,0.076,0.0404,0,0.14,0.316,111.115,"2000s",268.96
"r&b",0.775,0.535,6,-7.125,1,0.113,0.349,0,0.14,0.315,84.122,"1990s",280
"rap",0.874,0.63,1,-3.585,1,0.298,0.0578,0.00479,0.0582,0.717,95,"1990s",281.6
"rap",0.794,0.614,5,-5.352,0,0.0467,0.0964,0,0.0788,0.663,80.569,"2000s",238.053
"rap",0.794,0.773,6,-6.065,1,0.166,0.00286,0.000272,0.326,0.553,92.465,"1990s",283.373
"rap",0.763,0.84,8,-3.704,1,0.0929,0.0346,0,0.0601,0.748,92.477,"1990s",287.547
"rap",0.749,0.679,5,-5.889,0,0.238,0.0177,9.33e-06,0.406,0.672,85.04,"1990s",293.667
"rap",0.893,0.721,2,-12.266,1,0.305,0.32,0,0.0969,0.801,94.58,"1990s",260.173
"rap",0.846,0.416,10,-13.767,0,0.118,0.156,9.34e-06,0.238,0.645,96.188,"1990s",259
"rap",0.591,0.739,4,-6.451,1,0.429,0.141,0,0.48,0.613,172.414,"1990s",263.6
"rap",0.762,0.64,9,-6.412,1,0.32,0.24,0,0.0918,0.548,75.357,"2000s",260.853
"rap",0.803,0.784,11,-5.97,0,0.198,0.0012,0.000161,0.0794,0.801,90.185,"1990s",296.907
"rap",0.544,0.805,10,-2.765,0,0.408,0.0497,0.000365,0.145,0.668,166.061,"2000s",231.987
